League,HT_Score,Matches,Percentage
Paraguay - Primera Div. - Apertura,0 - 1,16,12%
Paraguay - Primera Div. - Apertura,1 - 1,15,11%
Paraguay - Primera Div. - Apertura,2 - 1,5,4%
Paraguay - Primera Div. - Apertura,0 - 3,4,3%
Paraguay - Primera Div. - Apertura,1 - 2,4,3%
Paraguay - Primera Div. - Apertura,0 - 2,3,2%
Paraguay - Primera Div. - Apertura,2 - 0,2,2%
Paraguay - Primera Div. - Apertura,1 - 3,1,1%
Paraguay - Primera Div. - Apertura,2 - 2,1,1%
Paraguay - Primera Div. - Apertura,3 - 1,1,1%
Paraguay - Primera Div. - Apertura,4 - 0,1,1%
Paraguay - Primera Div. - Apertura,3 - 0,1,1%
Paraguay - Primera Div. - Clausura,0 - 0,12,30%
Paraguay - Primera Div. - Clausura,0 - 1,9,22%
Paraguay - Primera Div. - Clausura,1 - 0,7,18%
Paraguay - Primera Div. - Clausura,0 - 3,2,5%
Paraguay - Primera Div. - Clausura,1 - 2,2,5%
Paraguay - Primera Div. - Clausura,2 - 1,2,5%
Paraguay - Primera Div. - Clausura,1 - 1,2,5%
Paraguay - Primera Div. - Clausura,2 - 0,2,5%
Paraguay - Primera Div. - Clausura,1 - 4,1,2%
Paraguay - Primera Div. - Clausura,0 - 2,1,2%
Paraguay - Division Intermedia,0 - 0,49,34%
Paraguay - Division Intermedia,1 - 0,40,28%
Paraguay - Division Intermedia,0 - 1,23,16%
Paraguay - Division Intermedia,2 - 0,11,8%
Paraguay - Division Intermedia,1 - 1,10,7%
Paraguay - Division Intermedia,2 - 1,3,2%
Paraguay - Division Intermedia,3 - 0,3,2%
Paraguay - Division Intermedia,0 - 3,1,1%
Paraguay - Division Intermedia,2 - 2,1,1%
Paraguay - Division Intermedia,1 - 2,1,1%
Paraguay - Division Intermedia,0 - 2,1,1%
Paraguay - Division Intermedia,3 - 1,1,1%
Peru - Liga 1 - Apertura,0 - 0,50,29%
Peru - Liga 1 - Apertura,1 - 0,38,22%
Peru - Liga 1 - Apertura,0 - 1,22,13%
Peru - Liga 1 - Apertura,1 - 1,20,12%
Peru - Liga 1 - Apertura,2 - 0,15,9%
Peru - Liga 1 - Apertura,0 - 2,6,4%
Peru - Liga 1 - Apertura,1 - 2,5,3%
Peru - Liga 1 - Apertura,2 - 1,5,3%
Peru - Liga 1 - Apertura,2 - 3,2,1%
Peru - Liga 1 - Apertura,2 - 2,2,1%
Peru - Liga 1 - Apertura,3 - 1,2,1%
Peru - Liga 1 - Apertura,5 - 0,1,1%
Peru - Liga 1 - Apertura,1 - 4,1,1%
Peru - Liga 1 - Apertura,4 - 1,1,1%
Peru - Liga 1 - Apertura,3 - 0,1,1%
Poland - Ekstraklasa,1 - 0,10,31%
Poland - Ekstraklasa,0 - 0,7,22%
Poland - Ekstraklasa,1 - 1,5,16%
Poland - Ekstraklasa,1 - 2,2,6%
Poland - Ekstraklasa,0 - 1,2,6%
Poland - Ekstraklasa,2 - 0,2,6%
Poland - Ekstraklasa,0 - 3,1,3%
Poland - Ekstraklasa,2 - 2,1,3%
Poland - Ekstraklasa,0 - 2,1,3%
Poland - Ekstraklasa,2 - 1,1,3%
Poland - 1. Liga,1 - 0,7,19%
Poland - 1. Liga,0 - 1,6,17%
Poland - 1. Liga,0 - 0,6,17%
Poland - 1. Liga,1 - 1,5,14%
Poland - 1. Liga,0 - 2,3,8%
Poland - 1. Liga,2 - 1,3,8%
Poland - 1. Liga,3 - 1,2,6%
Poland - 1. Liga,2 - 0,2,6%
Poland - 1. Liga,1 - 2,1,3%
Poland - 1. Liga,4 - 0,1,3%
Portugal - Liga Portugal,2 - 0,3,38%
Portugal - Liga Portugal,1 - 0,2,25%
Portugal - Liga Portugal,0 - 2,1,12%
Portugal - Liga Portugal,1 - 1,1,12%
Portugal - Liga Portugal,0 - 1,1,12%
Portugal - Liga Portugal 2,1 - 1,3,33%
Portugal - Liga Portugal 2,0 - 0,3,33%
Portugal - Liga Portugal 2,1 - 0,2,22%
Portugal - Liga Portugal 2,2 - 0,1,11%
Romania - Liga 1,0 - 1,8,21%
Romania - Liga 1,1 - 0,8,21%
Romania - Liga 1,0 - 0,7,18%
Romania - Liga 1,2 - 1,5,13%
Romania - Liga 1,0 - 2,4,10%
Romania - Liga 1,2 - 0,3,8%
Romania - Liga 1,1 - 1,2,5%
Romania - Liga 1,0 - 3,1,3%
Romania - Liga 1,2 - 2,1,3%
Scotland - Premiership,0 - 1,3,25%
Scotland - Premiership,0 - 0,3,25%
Scotland - Premiership,2 - 1,2,17%
Scotland - Premiership,2 - 0,2,17%
Scotland - Premiership,1 - 2,1,8%
Scotland - Premiership,1 - 0,1,8%
Scotland - Championship,0 - 1,5,50%
Scotland - Championship,0 - 0,3,30%
Scotland - Championship,3 - 1,1,10%
Scotland - Championship,2 - 0,1,10%
Serbia - Super Liga,1 - 0,8,28%
Serbia - Super Liga,0 - 0,6,21%
Serbia - Super Liga,1 - 1,4,14%
Serbia - Super Liga,2 - 0,4,14%
Serbia - Super Liga,0 - 1,3,10%
Serbia - Super Liga,0 - 3,2,7%
Serbia - Super Liga,1 - 3,1,3%
Serbia - Super Liga,2 - 1,1,3%
Singapore - Premier League,0 - 1,26,18%
Singapore - Premier League,1 - 0,20,14%
Singapore - Premier League,0 - 0,17,12%
Singapore - Premier League,1 - 1,15,10%
Singapore - Premier League,2 - 1,12,8%
Singapore - Premier League,2 - 0,12,8%
Singapore - Premier League,0 - 2,10,7%
Singapore - Premier League,1 - 2,9,6%
Singapore - Premier League,0 - 3,8,6%
Singapore - Premier League,3 - 1,5,3%
Singapore - Premier League,2 - 4,2,1%
Singapore - Premier League,1 - 3,2,1%
Singapore - Premier League,3 - 0,2,1%
Singapore - Premier League,0 - 4,1,1%
Singapore - Premier League,2 - 3,1,1%
Singapore - Premier League,2 - 2,1,1%
Singapore - Premier League,4 - 0,1,1%
Slovenia - Prva Liga,1 - 0,7,35%
Slovenia - Prva Liga,1 - 1,4,20%
Slovenia - Prva Liga,0 - 1,3,15%
Slovenia - Prva Liga,0 - 0,3,15%
Slovenia - Prva Liga,0 - 2,2,10%
Slovenia - Prva Liga,0 - 3,1,5%
Slovakia - Fortuna Liga,1 - 0,5,33%
Slovakia - Fortuna Liga,0 - 1,3,20%
Slovakia - Fortuna Liga,1 - 1,2,13%
Slovakia - Fortuna Liga,0 - 0,2,13%
Slovakia - Fortuna Liga,0 - 3,1,7%
Slovakia - Fortuna Liga,1 - 2,1,7%
Slovakia - Fortuna Liga,2 - 1,1,7%
South Africa - Premier Division ,0 - 1,3,38%
South Africa - Premier Division ,0 - 0,3,38%
South Africa - Premier Division ,2 - 0,1,12%
South Africa - Premier Division ,1 - 0,1,12%
South Korea - K League 1,0 - 0,53,35%
South Korea - K League 1,0 - 1,31,21%
South Korea - K League 1,1 - 0,28,19%
South Korea - K League 1,1 - 1,12,8%
South Korea - K League 1,2 - 0,8,5%
South Korea - K League 1,0 - 2,7,5%
South Korea - K League 1,1 - 2,4,3%
South Korea - K League 1,2 - 1,3,2%
South Korea - K League 1,3 - 0,2,1%
South Korea - K League 1,1 - 3,1,1%
South Korea - K League 1,2 - 2,1,1%
South Korea - K League 2,0 - 0,57,34%
South Korea - K League 2,0 - 1,31,18%
South Korea - K League 2,1 - 0,30,18%
South Korea - K League 2,1 - 1,17,10%
South Korea - K League 2,0 - 2,10,6%
South Korea - K League 2,2 - 0,8,5%
South Korea - K League 2,1 - 2,3,2%
South Korea - K League 2,3 - 1,3,2%
South Korea - K League 2,2 - 1,3,2%
South Korea - K League 2,1 - 3,2,1%
South Korea - K League 2,0 - 3,1,1%
South Korea - K League 2,2 - 2,1,1%
South Korea - K League 2,4 - 0,1,1%
South Korea - K League 2,3 - 0,1,1%
Sweden - Allsvenskan,0 - 0,53,35%
Sweden - Allsvenskan,0 - 1,23,15%
Sweden - Allsvenskan,1 - 0,23,15%
Sweden - Allsvenskan,1 - 1,14,9%
Sweden - Allsvenskan,2 - 0,13,9%
Sweden - Allsvenskan,0 - 2,7,5%
Sweden - Allsvenskan,1 - 2,5,3%
Sweden - Allsvenskan,2 - 1,3,2%
Sweden - Allsvenskan,3 - 0,3,2%
Sweden - Allsvenskan,0 - 3,2,1%
Sweden - Allsvenskan,2 - 2,2,1%
Sweden - Allsvenskan,3 - 4,1,1%
Sweden - Allsvenskan,0 - 4,1,1%
Sweden - Allsvenskan,1 - 3,1,1%
Sweden - Allsvenskan,3 - 1,1,1%
Sweden - Superettan,0 - 0,44,31%
Sweden - Superettan,1 - 0,29,20%
Sweden - Superettan,0 - 1,20,14%
Sweden - Superettan,1 - 1,19,13%
Sweden - Superettan,2 - 0,9,6%
Sweden - Superettan,0 - 2,7,5%
Sweden - Superettan,1 - 2,4,3%
Sweden - Superettan,2 - 2,2,1%
Sweden - Superettan,2 - 1,2,1%
Sweden - Superettan,1 - 5,1,1%
Sweden - Superettan,1 - 4,1,1%
Sweden - Superettan,1 - 3,1,1%
Sweden - Superettan,0 - 3,1,1%
Sweden - Superettan,3 - 2,1,1%
Sweden - Superettan,4 - 0,1,1%
Sweden - Superettan,3 - 0,1,1%
Sweden - Sodra,0 - 0,35,26%
Sweden - Sodra,1 - 0,32,24%
Sweden - Sodra,0 - 1,26,19%
Sweden - Sodra,1 - 1,10,7%
Sweden - Sodra,2 - 0,10,7%
Sweden - Sodra,1 - 2,5,4%
Sweden - Sodra,3 - 0,5,4%
Sweden - Sodra,0 - 2,4,3%
Sweden - Sodra,0 - 3,3,2%
Sweden - Sodra,2 - 1,2,1%
Sweden - Sodra,6 - 0,1,1%
Sweden - Sodra,0 - 4,1,1%
Sweden - Sodra,1 - 3,1,1%
Sweden - Sodra,3 - 1,1,1%
Switzerland - Super League,0 - 1,4,21%
Switzerland - Super League,1 - 0,4,21%
Switzerland - Super League,1 - 1,3,16%
Switzerland - Super League,2 - 0,2,11%
Switzerland - Super League,0 - 0,2,11%
Switzerland - Super League,1 - 3,1,5%
Switzerland - Super League,2 - 2,1,5%
Switzerland - Super League,2 - 1,1,5%
Switzerland - Super League,3 - 0,1,5%
Switzerland - Challenge League,1 - 0,5,36%
Switzerland - Challenge League,1 - 1,3,21%
Switzerland - Challenge League,0 - 0,2,14%
Switzerland - Challenge League,1 - 2,1,7%
Switzerland - Challenge League,0 - 2,1,7%
Switzerland - Challenge League,0 - 1,1,7%
Switzerland - Challenge League,2 - 0,1,7%
Turkey - Super Lig,0 - 3,2,33%
Turkey - Super Lig,0 - 0,2,33%
Turkey - Super Lig,2 - 1,1,17%
Turkey - Super Lig,1 - 0,1,17%
Ukraine - Premier League,1 - 0,5,31%
Ukraine - Premier League,0 - 0,5,31%
Ukraine - Premier League,0 - 1,2,12%
Ukraine - Premier League,1 - 2,1,6%
Ukraine - Premier League,0 - 2,1,6%
Ukraine - Premier League,2 - 1,1,6%
Ukraine - Premier League,1 - 1,1,6%
USA - MLS,0 - 0,98,26%
USA - MLS,1 - 0,76,20%
USA - MLS,0 - 1,59,16%
USA - MLS,1 - 1,43,11%
USA - MLS,2 - 0,27,7%
USA - MLS,0 - 2,16,4%
USA - MLS,2 - 1,16,4%
USA - MLS,1 - 2,13,3%
USA - MLS,3 - 0,8,2%
USA - MLS,2 - 2,5,1%
USA - MLS,3 - 2,4,1%
USA - MLS,1 - 3,3,1%
USA - MLS,0 - 3,3,1%
USA - MLS,3 - 1,3,1%
USA - MLS,2 - 3,2,1%
USA - MLS,5 - 0,1,0%
USA - MLS,0 - 4,1,0%
USL Championship,0 - 0,66,30%
USL Championship,1 - 0,40,18%
USL Championship,0 - 1,34,15%
USL Championship,1 - 1,28,13%
USL Championship,2 - 0,14,6%
USL Championship,2 - 1,12,5%
USL Championship,1 - 2,10,4%
USL Championship,0 - 2,6,3%
USL Championship,0 - 3,5,2%
USL Championship,3 - 0,3,1%
USL Championship,2 - 2,2,1%
USL Championship,2 - 3,1,0%
USL Championship,3 - 1,1,0%
USL Championship,4 - 0,1,0%
USA - USL League One,1 - 0,30,24%
USA - USL League One,0 - 0,27,21%
USA - USL League One,1 - 1,21,17%
USA - USL League One,0 - 1,18,14%
USA - USL League One,2 - 1,10,8%
USA - USL League One,2 - 0,9,7%
USA - USL League One,2 - 2,4,3%
USA - USL League One,1 - 2,2,2%
USA - USL League One,0 - 2,2,2%
USA - USL League One,2 - 3,1,1%
USA - USL League One,1 - 3,1,1%
USA - USL League One,0 - 3,1,1%
Venezuela - Primera Division - Apertura,0 - 0,29,32%
Venezuela - Primera Division - Apertura,1 - 0,16,18%
Venezuela - Primera Division - Apertura,0 - 1,14,15%
Venezuela - Primera Division - Apertura,1 - 1,12,13%
Venezuela - Primera Division - Apertura,1 - 2,5,5%
Venezuela - Primera Division - Apertura,2 - 0,5,5%
Venezuela - Primera Division - Apertura,0 - 2,4,4%
Venezuela - Primera Division - Apertura,2 - 1,4,4%
Venezuela - Primera Division - Apertura,3 - 0,2,2%
