League,FT_Score,Matches,Percentage
Switzerland - Challenge League,2 - 1,2,8%
Switzerland - Challenge League,3 - 0,2,8%
Switzerland - Challenge League,6 - 0,1,4%
Switzerland - Challenge League,4 - 5,1,4%
Switzerland - Challenge League,1 - 5,1,4%
Switzerland - Challenge League,0 - 3,1,4%
Switzerland - Challenge League,3 - 2,1,4%
Switzerland - Challenge League,2 - 2,1,4%
Switzerland - Challenge League,1 - 2,1,4%
Switzerland - Challenge League,4 - 0,1,4%
Switzerland - Challenge League,2 - 0,1,4%
Switzerland - Challenge League,0 - 0,1,4%
Thailand - Thai League 1,2 - 2,2,12%
Thailand - Thai League 1,2 - 1,2,12%
Thailand - Thai League 1,1 - 1,2,12%
Thailand - Thai League 1,1 - 0,2,12%
Thailand - Thai League 1,5 - 1,1,6%
Thailand - Thai League 1,3 - 3,1,6%
Thailand - Thai League 1,2 - 3,1,6%
Thailand - Thai League 1,3 - 2,1,6%
Thailand - Thai League 1,1 - 2,1,6%
Thailand - Thai League 1,3 - 1,1,6%
Thailand - Thai League 1,0 - 1,1,6%
Thailand - Thai League 1,0 - 0,1,6%
Turkey - Super Lig,2 - 1,5,24%
Turkey - Super Lig,0 - 1,3,14%
Turkey - Super Lig,0 - 3,2,10%
Turkey - Super Lig,3 - 0,2,10%
Turkey - Super Lig,1 - 0,2,10%
Turkey - Super Lig,0 - 0,2,10%
Turkey - Super Lig,1 - 4,1,5%
Turkey - Super Lig,0 - 4,1,5%
Turkey - Super Lig,0 - 2,1,5%
Turkey - Super Lig,3 - 1,1,5%
Turkey - Super Lig,1 - 1,1,5%
Turkey - 1,1 - 1,6,20%
Turkey - 1,2 - 1,5,17%
Turkey - 1,2 - 0,3,10%
Turkey - 1,0 - 0,3,10%
Turkey - 1,2 - 2,2,7%
Turkey - 1,1 - 0,2,7%
Turkey - 1,5 - 0,1,3%
Turkey - 1,3 - 3,1,3%
Turkey - 1,2 - 3,1,3%
Turkey - 1,1 - 3,1,3%
Turkey - 1,0 - 3,1,3%
Turkey - 1,4 - 2,1,3%
Turkey - 1,3 - 2,1,3%
Turkey - 1,3 - 1,1,3%
Turkey - 1,4 - 0,1,3%
UAE - Pro League,0 - 1,3,21%
UAE - Pro League,2 - 1,2,14%
UAE - Pro League,2 - 0,2,14%
UAE - Pro League,2 - 3,1,7%
UAE - Pro League,1 - 3,1,7%
UAE - Pro League,3 - 2,1,7%
UAE - Pro League,0 - 2,1,7%
UAE - Pro League,3 - 1,1,7%
UAE - Pro League,1 - 0,1,7%
UAE - Pro League,0 - 0,1,7%
Ukraine - Premier League,0 - 2,3,12%
Ukraine - Premier League,2 - 1,3,12%
Ukraine - Premier League,0 - 1,3,12%
Ukraine - Premier League,1 - 0,3,12%
Ukraine - Premier League,1 - 4,2,8%
Ukraine - Premier League,3 - 1,2,8%
Ukraine - Premier League,0 - 0,2,8%
Ukraine - Premier League,1 - 5,1,4%
Ukraine - Premier League,3 - 3,1,4%
Ukraine - Premier League,2 - 3,1,4%
Ukraine - Premier League,1 - 2,1,4%
Ukraine - Premier League,1 - 1,1,4%
Ukraine - Premier League,2 - 0,1,4%
USA - MLS,2 - 1,42,10%
USA - MLS,1 - 1,37,9%
USA - MLS,1 - 0,34,8%
USA - MLS,0 - 1,31,8%
USA - MLS,2 - 0,31,8%
USA - MLS,0 - 0,31,8%
USA - MLS,1 - 2,30,7%
USA - MLS,2 - 2,23,6%
USA - MLS,3 - 0,18,4%
USA - MLS,1 - 3,14,3%
USA - MLS,3 - 3,13,3%
USA - MLS,0 - 2,13,3%
USA - MLS,3 - 2,12,3%
USA - MLS,3 - 1,12,3%
USA - MLS,2 - 4,9,2%
USA - MLS,4 - 1,9,2%
USA - MLS,2 - 3,8,2%
USA - MLS,0 - 3,7,2%
USA - MLS,4 - 2,6,1%
USA - MLS,1 - 4,4,1%
USA - MLS,4 - 0,4,1%
USA - MLS,5 - 1,3,1%
USA - MLS,other scores,3,1%
USA - MLS,3 - 4,3,1%
USA - MLS,3 - 5,2,0%
USA - MLS,5 - 2,2,0%
USA - MLS,1 - 6,1,0%
USA - MLS,6 - 1,1,0%
USA - MLS,1 - 5,1,0%
USA - MLS,5 - 3,1,0%
USA - MLS,5 - 0,1,0%
USA - MLS,0 - 4,1,0%
USA - MLS,4 - 3,1,0%
USL Championship,1 - 1,27,11%
USL Championship,1 - 0,26,11%
USL Championship,1 - 2,24,10%
USL Championship,2 - 1,24,10%
USL Championship,2 - 0,20,8%
USL Championship,0 - 1,19,8%
USL Championship,0 - 0,19,8%
USL Championship,2 - 2,13,5%
USL Championship,1 - 3,7,3%
USL Championship,0 - 2,7,3%
USL Championship,3 - 1,7,3%
USL Championship,3 - 0,7,3%
USL Championship,2 - 3,6,2%
USL Championship,0 - 3,6,2%
USL Championship,4 - 2,6,2%
USL Championship,3 - 2,6,2%
USL Championship,4 - 1,6,2%
USL Championship,1 - 4,3,1%
USL Championship,4 - 0,3,1%
USL Championship,4 - 4,2,1%
USL Championship,3 - 3,2,1%
USL Championship,6 - 0,1,0%
USL Championship,5 - 2,1,0%
USL Championship,5 - 1,1,0%
USL Championship,5 - 0,1,0%
USL Championship,2 - 4,1,0%
USL Championship,4 - 3,1,0%
USA - USL League One,1 - 1,20,14%
USA - USL League One,2 - 1,15,11%
USA - USL League One,1 - 0,14,10%
USA - USL League One,2 - 2,11,8%
USA - USL League One,3 - 1,10,7%
USA - USL League One,0 - 1,10,7%
USA - USL League One,0 - 0,10,7%
USA - USL League One,1 - 2,9,6%
USA - USL League One,2 - 0,8,6%
USA - USL League One,3 - 3,4,3%
USA - USL League One,0 - 2,4,3%
USA - USL League One,3 - 0,4,3%
USA - USL League One,2 - 3,3,2%
USA - USL League One,1 - 3,3,2%
USA - USL League One,3 - 2,3,2%
USA - USL League One,4 - 1,3,2%
USA - USL League One,3 - 4,2,1%
USA - USL League One,0 - 3,2,1%
USA - USL League One,4 - 5,1,1%
USA - USL League One,2 - 5,1,1%
USA - USL League One,4 - 4,1,1%
USA - USL League One,2 - 4,1,1%
USA - USL League One,0 - 4,1,1%
Venezuela - Primera Division - Apertura,1 - 0,16,18%
Venezuela - Primera Division - Apertura,0 - 0,13,14%
Venezuela - Primera Division - Apertura,2 - 1,10,11%
Venezuela - Primera Division - Apertura,1 - 1,8,9%
Venezuela - Primera Division - Apertura,0 - 2,6,7%
Venezuela - Primera Division - Apertura,0 - 1,6,7%
Venezuela - Primera Division - Apertura,2 - 0,5,5%
Venezuela - Primera Division - Apertura,2 - 2,4,4%
Venezuela - Primera Division - Apertura,1 - 3,3,3%
Venezuela - Primera Division - Apertura,1 - 2,3,3%
Venezuela - Primera Division - Apertura,1 - 4,2,2%
Venezuela - Primera Division - Apertura,2 - 3,2,2%
Venezuela - Primera Division - Apertura,4 - 2,2,2%
Venezuela - Primera Division - Apertura,3 - 2,2,2%
Venezuela - Primera Division - Apertura,3 - 1,2,2%
Venezuela - Primera Division - Apertura,3 - 0,2,2%
Venezuela - Primera Division - Apertura,3 - 4,1,1%
Venezuela - Primera Division - Apertura,3 - 3,1,1%
Venezuela - Primera Division - Apertura,0 - 3,1,1%
Venezuela - Primera Division - Apertura,4 - 1,1,1%
Venezuela - Primera Division - Apertura,4 - 0,1,1%
